Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Test,Electronegativity,dataset
1,ID_0001,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,3.66,Uncoated,human,cervix,MTT,1.93,Small
2,ID_0002,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,48.48,Uncoated,human,cervix,NR,1.93,Small
3,ID_0003,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,65.96,Uncoated,human,cervix,NR,1.93,Small
4,ID_0004,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,23.71,Uncoated,human,skin,NR,1.93,Small
5,ID_0005,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,20.52,Uncoated,human,skin,NR,1.93,Small
6,ID_0006,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,21.89,Uncoated,human,skin,NR,1.93,Small
7,ID_0007,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,3.99,Uncoated,human,skin,MTT,1.93,Small
8,ID_0008,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,18.31,Uncoated,human,cervix,MTT,1.93,Small
9,ID_0009,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,32.08,Uncoated,human,cervix,AlamarBlue,1.93,Small
10,ID_0010,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,11.56,Uncoated,human,skin,MTT,1.93,Small
11,ID_0011,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,6.78,Uncoated,human,skin,MTT,1.93,Small
12,ID_0012,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,5.98,Uncoated,human,skin,MTT,1.93,Small
13,ID_0013,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,9.57,Uncoated,human,skin,MTT,1.93,Small
14,ID_0014,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.39,Uncoated,human,skin,MTT,1.93,Small
15,ID_0015,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,3.19,Uncoated,human,skin,MTT,1.93,Small
16,ID_0017,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,6.38,Uncoated,human,skin,MTT,1.93,Small
17,ID_0018,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,5.69,Uncoated,human,cervix,MTT,1.93,Small
18,ID_0019,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,9.17,Uncoated,human,skin,MTT,1.93,Small
19,ID_0020,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,12.36,Uncoated,human,skin,MTT,1.93,Small
20,ID_0021,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,17.94,Uncoated,human,skin,MTT,1.93,Small
21,ID_0022,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,20.73,Uncoated,human,skin,MTT,1.93,Small
22,ID_0023,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,18.74,Uncoated,human,skin,MTT,1.93,Small
23,ID_0024,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,38.67,Uncoated,human,skin,MTT,1.93,Small
24,ID_0026,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,43.46,Uncoated,human,skin,MTT,1.93,Small
25,ID_0028,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,9.36,Uncoated,human,cervix,MTT,1.93,Small
26,ID_0029,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,12.61,Uncoated,human,cervix,MTT,1.93,Small
27,ID_0030,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,2.85,Uncoated,human,cervix,MTT,1.93,Small
28,ID_0031,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,4.07,Uncoated,human,cervix,MTT,1.93,Small
29,ID_0032,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,13.02,Uncoated,human,cervix,MTT,1.93,Small
30,ID_0034,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,4.47,Uncoated,human,cervix,MTT,1.93,Small
31,ID_0035,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,16.27,Uncoated,human,cervix,MTT,1.93,Small
32,ID_0036,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,4.88,Uncoated,human,cervix,MTT,1.93,Small
33,ID_0038,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,35.57,Uncoated,human,skin,NR,1.93,Small
34,ID_0039,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,8.37,Uncoated,human,skin,MTT,1.93,Small
35,ID_0040,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,5.29,Uncoated,human,cervix,MTT,1.93,Small
36,ID_0041,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,24.17,Uncoated,human,skin,NR,1.93,Small
37,ID_0042,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,34.66,Uncoated,human,skin,NR,1.93,Small
38,ID_0043,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,7.32,Uncoated,human,cervix,MTT,1.93,Small
39,ID_0044,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,8.14,Uncoated,human,cervix,MTT,1.93,Small
40,ID_0045,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,61.42,Uncoated,human,cervix,MTT,1.93,Small
41,ID_0046,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,6.92,Uncoated,human,cervix,MTT,1.93,Small
42,ID_0047,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,101.29,Uncoated,human,cervix,MTT,1.93,Small
43,ID_0049,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,60.2,Uncoated,human,skin,MTT,1.93,Small
44,ID_0050,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,59.4,Uncoated,human,skin,MTT,1.93,Small
45,ID_0051,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,71.13,Uncoated,human,cervix,NR,1.93,Small
46,ID_0052,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,19.15,Uncoated,human,skin,NR,1.93,Small
47,ID_0053,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,44.9,Uncoated,human,cervix,NR,1.93,Small
48,ID_0054,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,85.83,Uncoated,human,cervix,NR,1.93,Small
49,ID_0055,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,22.8,Uncoated,human,skin,NR,1.93,Small
50,ID_0056,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,23.26,Uncoated,human,skin,NR,1.93,Small
51,ID_0057,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,35.11,Uncoated,human,skin,NR,1.93,Small
52,ID_0058,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,22.35,Uncoated,human,skin,NR,1.93,Small
53,ID_0059,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,27.02,Uncoated,human,cervix,NR,1.93,Small
54,ID_0060,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,29.4,Uncoated,human,cervix,NR,1.93,Small
55,ID_0061,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,60.79,Uncoated,human,cervix,NR,1.93,Small
56,ID_0063,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,58.98,Uncoated,human,cervix,MTT,1.93,Small
57,ID_0064,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,28.73,Uncoated,human,skin,NR,1.93,Small
58,ID_0065,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,45.3,Uncoated,human,cervix,NR,1.93,Small
59,ID_0066,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,55.02,Uncoated,human,skin,MTT,1.93,Small
60,ID_0067,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,40.13,Uncoated,human,cervix,NR,1.93,Small
61,ID_0068,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,33.38,Uncoated,human,cervix,NR,1.93,Small
62,ID_0069,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,70.17,Uncoated,human,skin,MTT,1.93,Small
63,ID_0070,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,19.87,Uncoated,human,cervix,NR,1.93,Small
64,ID_0071,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,22.25,Uncoated,human,cervix,NR,1.93,Small
65,ID_0072,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,43.31,Uncoated,human,cervix,NR,1.93,Small
66,ID_0073,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,34.2,Uncoated,human,skin,NR,1.93,Small
67,ID_0074,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,25.43,Uncoated,human,cervix,NR,1.93,Small
68,ID_0075,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,49.67,Uncoated,human,cervix,NR,1.93,Small
69,ID_0076,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,25.83,Uncoated,human,cervix,NR,1.93,Small
70,ID_0077,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,26.62,Uncoated,human,cervix,NR,1.93,Small
71,ID_0078,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,53.25,Uncoated,human,cervix,NR,1.93,Small
72,ID_0079,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,27.81,Uncoated,human,cervix,NR,1.93,Small
73,ID_0080,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,28.61,Uncoated,human,cervix,NR,1.93,Small
74,ID_0082,Ag,14.7,-20.0,Caco-2,Yes,1.027616289471819e-06,18.06,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
75,ID_0083,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359096e-07,39.3,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
76,ID_0084,Ag,14.7,-20.0,Caco-2,Yes,2.569040723679548e-07,72.23,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
77,ID_0085,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,10.98,Uncoated,human,cervix,MTT,1.93,Small
78,ID_0086,Ag,14.7,-20.0,Caco-2,Yes,3.596657013151367e-07,43.13,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
79,ID_0087,Ag,14.7,-20.0,Caco-2,Yes,1.541424434207729e-07,92.2,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
80,ID_0088,Ag,36.4,-23.1,KEC,No,9.137188863135807e-10,84.48,Uncoated,human,skin,MTS,1.93,Small
81,ID_0089,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.25,Uncoated,human,cervix,MTT,1.93,Small
82,ID_0091,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359097e-08,96.87,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
83,ID_0092,Ag,14.7,-20.0,Caco-2,Yes,2.055232578943638e-08,96.02,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
84,ID_0093,Ag,27.02,-18.4,KEC,No,2.230575061472666e-08,5.08,PVP,human,skin,MTS,1.93,Small
85,ID_0094,Ag,27.02,-18.4,KEC,No,2.230575061472666e-08,17.29,PVP,human,skin,MTS,1.93,Small
86,ID_0095,Ag,27.02,-18.4,KEC,No,8.918990787342486e-09,32.54,PVP,human,skin,MTS,1.93,Small
87,ID_0096,Ag,27.02,-18.4,KEC,No,8.918990787342486e-09,75.25,PVP,human,skin,MTS,1.93,Small
88,ID_0097,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,77.63,PVP,human,skin,MTS,1.93,Small
89,ID_0098,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,15.83,Uncoated,human,cervix,AlamarBlue,1.93,Small
90,ID_0099,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.68,Uncoated,human,skin,AlamarBlue,1.93,Small
91,ID_0100,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,7.92,Uncoated,human,cervix,AlamarBlue,1.93,Small
92,ID_0101,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,57.92,Uncoated,human,cervix,AlamarBlue,1.93,Small
93,ID_0102,Ag,28.41,-33.33,HeLa,Yes,5.688726688070381e-08,10.83,Uncoated,human,cervix,AlamarBlue,1.93,Small
94,ID_0103,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,67.15,Uncoated,human,cervix,NR,1.93,Small
95,ID_0104,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,100.85,Uncoated,human,skin,AlamarBlue,1.93,Small
96,ID_0105,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,95.93,PVP,human,skin,MTS,1.93,Small
97,ID_0106,Ag,27.02,-18.4,KEC,No,2.233884520020845e-09,102.71,PVP,human,skin,MTS,1.93,Small
98,ID_0107,Ag,36.4,-23.1,KEC,No,9.123652287042276e-09,7.98,Uncoated,human,skin,MTS,1.93,Small
99,ID_0109,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,41.5,Uncoated,human,skin,NR,1.93,Small
100,ID_0110,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,35.74,Uncoated,human,skin,AlamarBlue,1.93,Small
101,ID_0111,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,38.72,Uncoated,human,skin,AlamarBlue,1.93,Small
102,ID_0112,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,65.11,Uncoated,human,skin,AlamarBlue,1.93,Small
103,ID_0113,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,55.32,Uncoated,human,skin,AlamarBlue,1.93,Small
104,ID_0114,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,62.13,Uncoated,human,skin,AlamarBlue,1.93,Small
105,ID_0115,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,34.47,Uncoated,human,skin,AlamarBlue,1.93,Small
106,ID_0116,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,25.08,Uncoated,human,skin,NR,1.93,Small
107,ID_0117,Ag,36.4,-23.1,KEC,No,9.123652287042276e-09,26.88,Uncoated,human,skin,MTS,1.93,Small
108,ID_0118,Ag,36.4,-23.1,KEC,No,3.648107257207556e-09,84.27,Uncoated,human,skin,MTS,1.93,Small
109,ID_0119,Ag,36.4,-23.1,KEC,No,3.648107257207556e-09,77.49,Uncoated,human,skin,MTS,1.93,Small
110,ID_0120,Ag,36.4,-23.1,KEC,No,1.827437772627162e-09,85.57,Uncoated,human,skin,MTS,1.93,Small
111,ID_0121,Ag,36.4,-23.1,KEC,No,1.827437772627162e-09,82.17,Uncoated,human,skin,MTS,1.93,Small
112,ID_0122,Ag,36.4,-23.1,KEC,No,9.137188863135807e-10,85.85,Uncoated,human,skin,MTS,1.93,Small
113,ID_0123,Ag,14.7,-20.0,Caco-2,Yes,1.027616289471819e-07,100.06,Uncoated,human,colon,Promegas CTB Assay,1.93,Small
114,ID_0124,Ag,27.02,-18.4,KEC,No,2.233884520020845e-09,103.05,PVP,human,skin,MTS,1.93,Small
115,ID_0125,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,14.47,Uncoated,human,skin,AlamarBlue,1.93,Small
116,ID_0127,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,9.79,Uncoated,human,skin,AlamarBlue,1.93,Small
117,ID_0128,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,8.94,Uncoated,human,skin,AlamarBlue,1.93,Small
