Viability (%),Diameter (nm),Zeta potential (mV),Concentration (g/L),Time (h),Electronegativity,Cluster
3.661017,28.41,-33.33,3.55545418004399e-07,72,1.93,2
48.47682,28.41,-33.33,2.84436334403519e-08,48,1.93,2
65.960266,28.41,-33.33,1.13774533761408e-07,24,1.93,2
23.713354,28.41,-33.33,8.53309003210557e-07,48,1.93,2
20.521173,28.41,-33.33,8.53309003210557e-07,72,1.93,2
21.889252,28.41,-33.33,1.13774533761408e-06,48,1.93,2
3.986711,28.41,-33.33,5.68872668807038e-07,72,1.93,2
18.305084,28.41,-33.33,1.13774533761408e-07,24,1.93,2
32.083332,28.41,-33.33,3.55545418004399e-07,24,1.93,2
11.561461,28.41,-33.33,1.4221816720176e-06,24,1.93,2
6.7774086,28.41,-33.33,1.13774533761408e-06,72,1.93,2
5.9800663,28.41,-33.33,1.13774533761408e-06,48,1.93,2
9.568107,28.41,-33.33,1.13774533761408e-06,24,1.93,2
4.385382,28.41,-33.33,8.53309003210557e-07,72,1.93,2
3.1893687,28.41,-33.33,5.68872668807038e-07,48,1.93,2
4.385382,28.41,-33.33,8.53309003210557e-07,48,1.93,2
6.3787374,28.41,-33.33,5.68872668807038e-07,24,1.93,2
5.6949153,28.41,-33.33,1.13774533761408e-07,48,1.93,2
9.1694355,28.41,-33.33,2.84436334403519e-07,48,1.93,2
12.358804,28.41,-33.33,2.84436334403519e-07,24,1.93,2
17.940199,28.41,-33.33,1.4221816720176e-07,72,1.93,2
20.730898,28.41,-33.33,1.4221816720176e-07,48,1.93,2
18.737541,28.41,-33.33,1.4221816720176e-07,24,1.93,2
38.671097,28.41,-33.33,7.11090836008798e-08,72,1.93,2
6.7774086,28.41,-33.33,1.4221816720176e-06,48,1.93,2
43.45515,28.41,-33.33,7.11090836008798e-08,48,1.93,2
9.1694355,28.41,-33.33,1.4221816720176e-06,72,1.93,2
9.355932,28.41,-33.33,2.84436334403519e-08,48,1.93,2
12.610169,28.41,-33.33,2.84436334403519e-07,24,1.93,2
2.8474576,28.41,-33.33,2.13327250802639e-07,72,1.93,2
4.0677967,28.41,-33.33,2.13327250802639e-07,48,1.93,2
13.016949,28.41,-33.33,2.13327250802639e-07,24,1.93,2
4.4745765,28.41,-33.33,1.4221816720176e-07,48,1.93,2
16.271187,28.41,-33.33,1.4221816720176e-07,24,1.93,2
4.881356,28.41,-33.33,1.13774533761408e-07,72,1.93,2
5.9800663,28.41,-33.33,2.84436334403519e-07,72,1.93,2
35.570034,28.41,-33.33,1.13774533761408e-06,24,1.93,2
8.372093,28.41,-33.33,8.53309003210557e-07,24,1.93,2
5.2881355,28.41,-33.33,8.53309003210557e-08,72,1.93,2
24.16938,28.41,-33.33,5.68872668807038e-07,48,1.93,2
34.65798,28.41,-33.33,8.53309003210557e-07,24,1.93,2
7.322034,28.41,-33.33,5.68872668807038e-08,72,1.93,2
8.135593,28.41,-33.33,5.68872668807038e-08,48,1.93,2
61.42373,28.41,-33.33,5.68872668807038e-08,24,1.93,2
6.915254,28.41,-33.33,2.84436334403519e-08,72,1.93,2
101.28814,28.41,-33.33,2.84436334403519e-08,24,1.93,2
3.661017,28.41,-33.33,2.84436334403519e-07,48,1.93,2
60.199337,28.41,-33.33,7.11090836008798e-08,24,1.93,2
59.401993,28.41,-33.33,3.55545418004399e-08,48,1.93,2
71.12583,28.41,-33.33,5.68872668807038e-08,24,1.93,2
19.153095,28.41,-33.33,5.68872668807038e-07,72,1.93,2
44.90066,28.41,-33.33,2.84436334403519e-08,72,1.93,2
85.82781,28.41,-33.33,2.84436334403519e-08,24,1.93,2
22.801304,28.41,-33.33,1.4221816720176e-06,72,1.93,2
23.25733,28.41,-33.33,1.4221816720176e-06,48,1.93,2
35.114006,28.41,-33.33,1.4221816720176e-06,24,1.93,2
22.345278,28.41,-33.33,1.13774533761408e-06,72,1.93,2
27.019867,28.41,-33.33,2.84436334403519e-07,48,1.93,2
29.403973,28.41,-33.33,1.13774533761408e-07,48,1.93,2
60.7947,28.41,-33.33,1.4221816720176e-07,24,1.93,2
6.915254,28.41,-33.33,8.53309003210557e-08,48,1.93,2
58.98305,28.41,-33.33,8.53309003210557e-08,24,1.93,2
28.729641,28.41,-33.33,2.84436334403519e-07,48,1.93,2
45.29801,28.41,-33.33,5.68872668807038e-08,48,1.93,2
55.016613,28.41,-33.33,3.55545418004399e-08,72,1.93,2
40.13245,28.41,-33.33,5.68872668807038e-08,72,1.93,2
33.377483,28.41,-33.33,8.53309003210557e-08,48,1.93,2
70.166115,28.41,-33.33,3.55545418004399e-08,24,1.93,2
19.86755,28.41,-33.33,3.55545418004399e-07,72,1.93,2
22.251656,28.41,-33.33,3.55545418004399e-07,48,1.93,2
43.311256,28.41,-33.33,3.55545418004399e-07,24,1.93,2
34.201954,28.41,-33.33,5.68872668807038e-07,24,1.93,2
25.430464,28.41,-33.33,2.84436334403519e-07,72,1.93,2
49.668873,28.41,-33.33,2.84436334403519e-07,24,1.93,2
25.827814,28.41,-33.33,2.13327250802639e-07,72,1.93,2
26.622517,28.41,-33.33,2.13327250802639e-07,48,1.93,2
53.245033,28.41,-33.33,2.13327250802639e-07,24,1.93,2
27.81457,28.41,-33.33,1.4221816720176e-07,72,1.93,2
28.609272,28.41,-33.33,1.4221816720176e-07,48,1.93,2
18.057663,14.7,-20.0,1.02761628947182e-06,24,1.93,2
39.30197,14.7,-20.0,5.1380814473591e-07,24,1.93,2
72.23065,14.7,-20.0,2.56904072367955e-07,24,1.93,2
10.983051,28.41,-33.33,3.55545418004399e-07,24,1.93,2
43.12595,14.7,-20.0,3.59665701315137e-07,24,1.93,2
92.2003,14.7,-20.0,1.54142443420773e-07,24,1.93,2
84.47542,36.4,-23.1,9.13718886313581e-10,24,1.93,2
3.2542372,28.41,-33.33,2.84436334403519e-07,72,1.93,2
96.874054,14.7,-20.0,5.1380814473591e-08,24,1.93,2
96.02428,14.7,-20.0,2.05523257894364e-08,24,1.93,2
5.084746,27.02,-18.4,2.23057506147267e-08,48,1.93,2
17.288136,27.02,-18.4,2.23057506147267e-08,24,1.93,2
32.542374,27.02,-18.4,8.918990787342491e-09,48,1.93,2
75.254234,27.02,-18.4,8.918990787342491e-09,24,1.93,2
77.62712,27.02,-18.4,4.467769040041691e-09,48,1.93,2
15.833333,28.41,-33.33,2.84436334403519e-08,72,1.93,2
4.680851,28.41,-33.33,8.53309003210557e-07,72,1.93,2
7.9166665,28.41,-33.33,5.68872668807038e-08,72,1.93,2
57.916668,28.41,-33.33,5.68872668807038e-08,24,1.93,2
10.833333,28.41,-33.33,5.68872668807038e-08,48,1.93,2
67.15232,28.41,-33.33,8.53309003210557e-08,24,1.93,2
100.85107,28.41,-33.33,3.55545418004399e-08,24,1.93,2
