Produkt,Cena,Nazwa alejki,Numer alejki,Półka,Kategoria produktu
Róża czerwona,"10,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Róża różowa,"10,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Róża biała,"11,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Róża herbaciana,"11,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Róża kremowa,"10,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Tulipan czerwony,"4,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Tulipan różowy,"4,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Tulipan biały,"4,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Tulipan żółty,"4,19 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Tulipan fioletowy,"4,69 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gerbera czerwona,"5,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gerbera różowa,"5,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gerbera biała,"6,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gerbera żółta,"5,69 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gerbera pomarańczowa,"5,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Goździk czerwony,"3,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Goździk różowy,"3,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Goździk biały,"3,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Goździk bordowy,"3,69 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Goździk łososiowy,"3,39 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Lilia biała,"12,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Lilia różowa,"12,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Lilia tygrysia,"13,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Lilia żółta,"12,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Lilia stargazer,"13,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Chryzantema biała,"8,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Chryzantema żółta,"7,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Chryzantema różowa,"8,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Chryzantema fioletowa,"8,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Chryzantema zielona,"9,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Frezja biała,"3,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Frezja żółta,"3,59 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Frezja różowa,"3,69 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Frezja fioletowa,"3,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Frezja czerwona,"3,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Mieczyk różowy,"6,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Mieczyk biały,"6,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Mieczyk czerwony,"6,59 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Mieczyk żółty,"6,39 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Mieczyk fioletowy,"6,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Eustoma biała,"7,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Eustoma różowa,"7,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Eustoma fioletowa,"7,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Eustoma niebieska,"7,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Eustoma kremowa,"6,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Alstromeria różowa,"5,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Alstromeria biała,"6,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Alstromeria żółta,"5,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Alstromeria pomarańczowa,"5,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Alstromeria fioletowa,"6,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gipsówka biała,"15,99 zł/pęczek",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gipsówka różowa,"16,49 zł/pęczek",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gipsówka fioletowa barwiona,"17,99 zł/pęczek",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gipsówka kremowa,"15,49 zł/pęczek",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Gipsówka niebieska barwiona,"17,99 zł/pęczek",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Margaretka biała,"4,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Margaretka żółta,"4,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Margaretka różowa,"4,69 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Margaretka fioletowa,"4,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Margaretka wielokolorowa,"4,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Słonecznik żółty duży,"8,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Słonecznik żółty średni,"7,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Słonecznik burgundowy,"9,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Słonecznik dwukolorowy,"9,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Słonecznik kremowy,"8,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Irys niebieski,"5,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Irys fioletowy,"5,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Irys biały,"6,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Irys żółty,"5,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Irys dwukolorowy,"6,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Dalia czerwona,"9,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Dalia różowa,"9,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Dalia biała,"10,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Dalia fioletowa,"9,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Dalia dwukolorowa,"10,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Piwonia różowa,"12,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Piwonia biała,"13,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Piwonia czerwona,"13,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Piwonia kremowa,"12,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Piwonia koralowa,"13,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Hortensja biała,"16,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Hortensja różowa,"16,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Hortensja niebieska,"17,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Hortensja fioletowa,"17,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
