No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
ID_0001,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,3.661017,0,human,cervix,72,MTT,1.93,Small
ID_0002,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,48.47682,0,human,cervix,48,NR,1.93,Small
ID_0003,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,65.960266,0,human,cervix,24,NR,1.93,Small
ID_0004,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,23.713354,0,human,skin,48,NR,1.93,Small
ID_0005,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,20.521173,0,human,skin,72,NR,1.93,Small
ID_0006,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,21.889252,0,human,skin,48,NR,1.93,Small
ID_0007,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,3.986711,0,human,skin,72,MTT,1.93,Small
ID_0008,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,18.305084,0,human,cervix,24,MTT,1.93,Small
ID_0009,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,32.083332,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0010,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,11.561461,0,human,skin,24,MTT,1.93,Small
ID_0011,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,6.7774086,0,human,skin,72,MTT,1.93,Small
ID_0012,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,5.9800663,0,human,skin,48,MTT,1.93,Small
ID_0013,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,9.568107,0,human,skin,24,MTT,1.93,Small
ID_0014,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.385382,0,human,skin,72,MTT,1.93,Small
ID_0015,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,3.1893687,0,human,skin,48,MTT,1.93,Small
ID_0016,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.385382,0,human,skin,48,MTT,1.93,Small
ID_0017,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,6.3787374,0,human,skin,24,MTT,1.93,Small
ID_0018,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,5.6949153,0,human,cervix,48,MTT,1.93,Small
ID_0019,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,9.1694355,0,human,skin,48,MTT,1.93,Small
ID_0020,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,12.358804,0,human,skin,24,MTT,1.93,Small
ID_0021,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,17.940199,0,human,skin,72,MTT,1.93,Small
ID_0022,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,20.730898,0,human,skin,48,MTT,1.93,Small
ID_0023,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,18.737541,0,human,skin,24,MTT,1.93,Small
ID_0024,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,38.671097,0,human,skin,72,MTT,1.93,Small
ID_0025,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,6.7774086,0,human,skin,48,MTT,1.93,Small
ID_0026,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,43.45515,0,human,skin,48,MTT,1.93,Small
ID_0027,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,9.1694355,0,human,skin,72,MTT,1.93,Small
ID_0028,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,9.355932,0,human,cervix,48,MTT,1.93,Small
ID_0029,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,12.610169,0,human,cervix,24,MTT,1.93,Small
ID_0030,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,2.8474576,0,human,cervix,72,MTT,1.93,Small
ID_0031,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,4.0677967,0,human,cervix,48,MTT,1.93,Small
ID_0032,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,13.016949,0,human,cervix,24,MTT,1.93,Small
ID_0033,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,2.8474576,0,human,cervix,72,MTT,1.93,Small
ID_0034,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,4.4745765,0,human,cervix,48,MTT,1.93,Small
ID_0035,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,16.271187,0,human,cervix,24,MTT,1.93,Small
ID_0036,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,4.881356,0,human,cervix,72,MTT,1.93,Small
ID_0037,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,5.9800663,0,human,skin,72,MTT,1.93,Small
ID_0038,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,35.570034,0,human,skin,24,NR,1.93,Small
ID_0039,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,8.372093,0,human,skin,24,MTT,1.93,Small
ID_0040,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,5.2881355,0,human,cervix,72,MTT,1.93,Small
ID_0041,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,24.16938,0,human,skin,48,NR,1.93,Small
ID_0042,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,34.65798,0,human,skin,24,NR,1.93,Small
ID_0043,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,7.322034,0,human,cervix,72,MTT,1.93,Small
ID_0044,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,8.135593,0,human,cervix,48,MTT,1.93,Small
ID_0045,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,61.42373,0,human,cervix,24,MTT,1.93,Small
ID_0046,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,6.915254,0,human,cervix,72,MTT,1.93,Small
ID_0047,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,101.28814,0,human,cervix,24,MTT,1.93,Small
ID_0048,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.661017,0,human,cervix,48,MTT,1.93,Small
ID_0049,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,60.199337,0,human,skin,24,MTT,1.93,Small
ID_0050,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,59.401993,0,human,skin,48,MTT,1.93,Small
ID_0051,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,71.12583,0,human,cervix,24,NR,1.93,Small
ID_0052,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,19.153095,0,human,skin,72,NR,1.93,Small
ID_0053,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,44.90066,0,human,cervix,72,NR,1.93,Small
ID_0054,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,85.82781,0,human,cervix,24,NR,1.93,Small
ID_0055,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,22.801304,0,human,skin,72,NR,1.93,Small
ID_0056,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,23.25733,0,human,skin,48,NR,1.93,Small
ID_0057,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,35.114006,0,human,skin,24,NR,1.93,Small
ID_0058,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,22.345278,0,human,skin,72,NR,1.93,Small
ID_0059,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,27.019867,0,human,cervix,48,NR,1.93,Small
ID_0060,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,29.403973,0,human,cervix,48,NR,1.93,Small
ID_0061,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,60.7947,0,human,cervix,24,NR,1.93,Small
ID_0062,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,6.915254,0,human,cervix,48,MTT,1.93,Small
ID_0063,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,58.98305,0,human,cervix,24,MTT,1.93,Small
ID_0064,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,28.729641,0,human,skin,48,NR,1.93,Small
ID_0065,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,45.29801,0,human,cervix,48,NR,1.93,Small
ID_0066,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,55.016613,0,human,skin,72,MTT,1.93,Small
ID_0067,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,40.13245,0,human,cervix,72,NR,1.93,Small
ID_0068,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,33.377483,0,human,cervix,48,NR,1.93,Small
ID_0069,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,70.166115,0,human,skin,24,MTT,1.93,Small
ID_0070,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,19.86755,0,human,cervix,72,NR,1.93,Small
ID_0071,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,22.251656,0,human,cervix,48,NR,1.93,Small
ID_0072,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,43.311256,0,human,cervix,24,NR,1.93,Small
ID_0073,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,34.201954,0,human,skin,24,NR,1.93,Small
ID_0074,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,25.430464,0,human,cervix,72,NR,1.93,Small
ID_0075,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,49.668873,0,human,cervix,24,NR,1.93,Small
ID_0076,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,25.827814,0,human,cervix,72,NR,1.93,Small
ID_0077,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,26.622517,0,human,cervix,48,NR,1.93,Small
ID_0078,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,53.245033,0,human,cervix,24,NR,1.93,Small
ID_0079,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,27.81457,0,human,cervix,72,NR,1.93,Small
ID_0080,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,28.609272,0,human,cervix,48,NR,1.93,Small
ID_0081,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,27.81457,0,human,cervix,72,NR,1.93,Small
ID_0082,Ag,14.7,-20.0,Caco-2,Yes,1.027616289471819e-06,18.057663,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0083,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359096e-07,39.30197,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0084,Ag,14.7,-20.0,Caco-2,Yes,2.569040723679548e-07,72.23065,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0085,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,10.983051,0,human,cervix,24,MTT,1.93,Small
ID_0086,Ag,14.7,-20.0,Caco-2,Yes,3.596657013151367e-07,43.12595,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0087,Ag,14.7,-20.0,Caco-2,Yes,1.541424434207729e-07,92.2003,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0088,Ag,36.4,-23.1,KEC,No,9.137188863135807e-10,84.47542,0,human,skin,24,MTS,1.93,Small
ID_0089,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.2542372,0,human,cervix,72,MTT,1.93,Small
ID_0090,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,4.0677967,0,human,cervix,48,MTT,1.93,Small
ID_0091,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359097e-08,96.874054,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0092,Ag,14.7,-20.0,Caco-2,Yes,2.0552325789436383e-08,96.02428,0,human,colon,24,Promegas CTB Assay,1.93,Small
